customer_id,name,email,phone_number,address
6fb78271-504d-481f-8953-5b63ba81edd9,Nicholas Beard,christopher88@example.org,(479)637-6392x836,"1166 Barbara Roads Apt. 270, North Robert, WV 73190"
65bcc272-fadd-4ea3-aca5-e2fdb966442a,Hannah Smith,cwilson@example.org,592.430.4660x012,"23296 Michael Crossroad, Lake Rebeccaside, VT 49556"
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Christopher Powers,tammycurry@example.com,3146556168,"458 Warren Square, New Brian, OK 96147"
b09b2a5c-badc-432a-8159-0f538a0f4efb,Andrew Nielsen,rachelbrown@example.net,001-484-866-8455x048,"997 Barron Tunnel, Roweport, CO 05346"
5f18e583-f0b6-483f-a377-f6f1d289f0ab,Julie Pearson,vwilliams@example.org,+1-762-759-0841x9478,"PSC 1137, Box 5358, APO AE 93059"
3a3c8a71-ff57-4e2b-8991-ab9bebc2026f,Riley Davenport,martinlisa@example.net,466-552-7523x328,"56913 Natalie Forks, East Jameschester, NH 58300"
1f115b76-d92c-4227-aadf-50853fcb7546,Christopher Jones,gchambers@example.com,682-531-3348x45871,"2362 Chelsea Estate, Suefort, SD 78518"
696608aa-ee49-4329-884a-7b28550a1b46,Curtis Torres,ashley78@example.org,(861)828-7585x7567,"1294 Betty Landing, New Amy, OK 38950"
e5d6f6e6-9a6e-42f5-8cc4-29038bcf53a1,Jonathan Hartman,kelli08@example.org,214.299.8250,"Unit 6358 Box 0688, DPO AE 67183"
23b8c1e9-3924-46de-beb1-3b9046685257,James Hamilton,kathleencastillo@example.org,369.338.9833x1465,"5355 Kayla Extension Suite 979, South Brady, GU 31104"
787f2425-dbcc-4477-89e9-db0adf465290,Christopher Mason,michaelmccarthy@example.com,812.925.9572x44617,"884 Heidi Radial, Breannafurt, CA 06389"
3d85de89-c217-4429-8e20-07247d137018,Tiffany Norton,kayla07@example.net,488.541.3685,"53701 Sarah Street Suite 244, Martinchester, IL 96073"
c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,Kyle Mcdowell,jphelps@example.net,285-562-6149x91537,"73333 Wong Forge Apt. 043, Port Cherylmouth, MT 73419"
402913ec-9ef2-493e-b0ac-7d7ba2f963a3,Aaron Sloan,gregory16@example.com,616-810-1975x358,"1038 Derek Forest, West Douglaschester, IL 55842"
61a11729-3cb9-4350-9b4d-a0fe7bb38605,Ronald Lam,smithjohn@example.org,+1-521-717-3277x26488,"522 Jackson Ville Suite 251, Wilsonhaven, MD 64628"
